NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
auxiliary,loki-canary-bf95g,0,●,1/1,Running,0,2,20,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.2,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=9bb56688c pod-template-generation=1,,91d
kube-system,cert-manager-cainjector-748b48cf55-ktxs5,0,●,1/1,Running,0,1,52,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.24,cc01-pool-1-node-938903,<none>,<none>,BE,app=cainjector app.kubernetes.io/component=cainjector app.kubernetes.io/instance=cert-manager app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=cainjector app.kubernetes.io/version=v1.14.2 helm.sh/chart=cert-manager-v1.14.2 pod-template-hash=748b48cf55,,10d
auxiliary,sftpgo-577bdc5d77-8t2n8,0,●,1/1,Running,0,1,17,10:4000,50:8192,10,0,34,0,10.2.26.132,cc01-pool-1-node-325afd,<none>,<none>,BU,app=sftpgo-5.3.0 app.kubernetes.io/instance=sftpgo app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=sftpgo app.kubernetes.io/version=2.5.6 helm-revision=6 helm.sh/chart=sftpgo-5.3.0 pod-template-hash=577bdc5d77 pod.lifecycle=permanent pod.name=main release=sftpgo,,8h
flux-system,image-automation-controller-7dcdc57f85-dpc5f,0,●,1/1,Running,0,4,42,100:1000,64:1024,4,0,66,4,10.2.32.17,cc01-pool-1-node-938903,<none>,<none>,BU,app=image-automation-controller pod-template-hash=7dcdc57f85,,10d
kube-system,ovhcloud-konnectivity-agent-75b8f94bc6-2f4bp,0,●,1/1,Running,0,1,9,2:0,6:0,50,n/a,164,n/a,10.2.32.29,cc01-pool-1-node-938903,<none>,<none>,BU,k8s-app=ovhcloud-konnectivity-agent mks.ovh/version=1.28.3-1 pod-template-hash=75b8f94bc6,,10d
prod,complero-service-gotenberg-c586b9ddd-55hvh,0,●,1/1,Running,0,1,76,600:600,204:204,0,0,37,37,10.2.2.27,cc01-pool-2-node-768869,<none>,<none>,GA,app=gotenberg pod-template-hash=c586b9ddd release=complero-service,,47h
auxiliary,loki-read-846847c547-mbqcp,0,●,1/1,Running,0,39,177,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.9,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/component=read app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist pod-template-hash=846847c547,,10d
kube-system,cert-manager-webhook-ovh-545dbc499c-5hfs8,0,●,1/1,Running,0,3,33,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.23,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=cert-manager-webhook-ovh app.kubernetes.io/name=cert-manager-webhook-ovh pod-template-hash=545dbc499c,,10d
auxiliary,prometheus-operator-grafana-5944d7fbbb-jmsb7,0,●,3/3,Running,13,10,233,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.59,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/instance=prometheus-operator app.kubernetes.io/name=grafana pod-template-hash=5944d7fbbb,,8h
auxiliary,rotate-credentials-28477470-kprtc,0,●,0/1,Completed,0,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.58,cc01-pool-1-node-9b4b91,<none>,<none>,BE,batch.kubernetes.io/controller-uid=1f84edd4-c7c6-4779-9a22-508d9571d54f batch.kubernetes.io/job-name=rotate-credentials-28477470 controller-uid=1f84edd4-c7c6-4779-9a22-508d9571d54f job-name=rotate-credentials-28477470,,8h
prod,complero-service-gorod-56fb74dd56-5lmsd,0,●,1/1,Running,0,1,87,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.31,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=complero-service app.kubernetes.io/name=complero-service-gorod pod-template-hash=56fb74dd56,,10d
auxiliary,vault-1,0,●,1/1,Running,0,42,141,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.35,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=vault app.kubernetes.io/name=vault apps.kubernetes.io/pod-index=1 component=server controller-revision-hash=vault-546b6ddf48 helm.sh/chart=vault-0.25.0 statefulset.kubernetes.io/pod-name=vault-1 vault-active=true vault-initialized=true vault-perf-standby=false vault-sealed=false vault-version=1.14.0,,10d
kube-system,cert-manager-858f558868-zwljv,0,●,1/1,Running,0,1,34,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.22,cc01-pool-1-node-938903,<none>,<none>,BE,app=cert-manager app.kubernetes.io/component=controller app.kubernetes.io/instance=cert-manager app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=cert-manager app.kubernetes.io/version=v1.14.2 helm.sh/chart=cert-manager-v1.14.2 pod-template-hash=858f558868,,10d
auxiliary,glitchtip-web-5c477c49b5-t4f6k,0,●,1/1,Running,0,1,319,100:1000,256:512,1,0,124,62,10.2.26.7,cc01-pool-1-node-325afd,<none>,<none>,BU,app.kubernetes.io/component=web app.kubernetes.io/instance=glitchtip app.kubernetes.io/name=glitchtip pod-template-hash=5c477c49b5,,10d
flux-system,image-reflector-controller-d74b8646b-q2cjx,0,●,1/1,Running,0,10,85,100:1000,64:1024,10,1,133,8,10.2.32.16,cc01-pool-1-node-938903,<none>,<none>,BU,app=image-reflector-controller pod-template-hash=d74b8646b,,10d
kube-system,external-dns-57f76d968-5cp6h,0,●,1/1,Running,24,5,27,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.26,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=external-dns app.kubernetes.io/name=external-dns pod-template-hash=57f76d968,,10d
kube-system,sealed-secrets-controller-755775f4cf-zngf2,0,●,1/1,Running,0,1,31,0:0,0:0,n/a,n/a,n/a,n/a,10.2.7.46,cc01-pool-1-node-da6e34,<none>,<none>,BE,app.kubernetes.io/instance=sealed-secrets-controller app.kubernetes.io/name=sealed-secrets pod-template-hash=755775f4cf,,7d17h
auxiliary,matomo-5d9bbfdb97-cwcww,0,●,1/1,Running,0,5,322,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.19,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/instance=matomo app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=matomo app.kubernetes.io/version=4.15.1 helm.sh/chart=matomo-3.1.1 pod-template-hash=5d9bbfdb97,,10d
auxiliary,prometheus-operator-prometheus-node-exporter-dwwnw,0,●,1/1,Running,0,1,18,0:0,0:0,n/a,n/a,n/a,n/a,10.0.1.144,cc01-pool-1-node-da6e34,<none>,<none>,BE,app.kubernetes.io/component=metrics app.kubernetes.io/instance=prometheus-operator app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=prometheus-node-exporter app.kubernetes.io/part-of=prometheus-node-exporter app.kubernetes.io/version=1.6.0 controller-revision-hash=54b4d8c84f helm.sh/chart=prometheus-node-exporter-4.21.0 jobLabel=node-exporter pod-template-generation=1 release=prometheus-operator,,64d
auxiliary,superset-7d6fcf4c4c-bwmd5,0,●,1/1,Running,0,3,210,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.129,cc01-pool-1-node-325afd,<none>,<none>,BE,app=superset pod-template-hash=7d6fcf4c4c release=superset,,8h
auxiliary,superset-worker-f664d4d6f-945rh,0,●,1/1,Running,0,100,276,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.130,cc01-pool-1-node-325afd,<none>,<none>,BE,app=superset-worker pod-template-hash=f664d4d6f release=superset,,8h
flux-system,notification-controller-745c7f4c55-xnj82,0,●,1/1,Running,0,1,25,100:1000,64:1024,1,0,40,2,10.2.32.20,cc01-pool-1-node-938903,<none>,<none>,BU,app=notification-controller pod-template-hash=745c7f4c55,,10d
prod,complero-service-gotenberg-c586b9ddd-qndcx,0,●,1/1,Running,0,1,77,600:600,204:204,0,0,37,37,10.2.7.130,cc01-pool-1-node-da6e34,<none>,<none>,GA,app=gotenberg pod-template-hash=c586b9ddd release=complero-service,,47h
auxiliary,loki-backend-0,0,●,1/1,Running,0,16,45,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.23,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/component=backend app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist apps.kubernetes.io/pod-index=0 controller-revision-hash=loki-backend-dd65758f6 statefulset.kubernetes.io/pod-name=loki-backend-0,,10d
auxiliary,loki-logs-mnlsj,0,●,2/2,Running,0,7,83,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.4,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=77594ff8bd grafana-agent=loki operator.agent.grafana.com/name=loki operator.agent.grafana.com/type=logs pod-template-generation=1,,91d
auxiliary,promtail-crmdn,0,●,1/1,Running,0,22,130,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.5,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/instance=promtail app.kubernetes.io/name=promtail controller-revision-hash=547f785cfd pod-template-generation=1,,83d
auxiliary,promtail-2b6hk,0,●,1/1,Running,0,10,87,0:0,0:0,n/a,n/a,n/a,n/a,10.2.7.3,cc01-pool-1-node-da6e34,<none>,<none>,BE,app.kubernetes.io/instance=promtail app.kubernetes.io/name=promtail controller-revision-hash=547f785cfd pod-template-generation=1,,195d
auxiliary,loki-canary-hxj86,0,●,1/1,Running,0,2,19,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.2,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=9bb56688c pod-template-generation=1,,93d
auxiliary,loki-grafana-agent-operator-574d44fd67-sg56q,0,●,1/1,Running,0,1,68,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.8,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/name=grafana-agent-operator pod-template-hash=574d44fd67,,10d
auxiliary,loki-read-846847c547-6lfb4,0,●,1/1,Running,0,35,174,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.9,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/component=read app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist pod-template-hash=846847c547,,10d
kube-system,ovhcloud-apiserver-proxy-dtcp2,0,●,1/1,Running,0,2,13,2:0,10:0,100,n/a,135,n/a,10.0.0.31,cc01-pool-1-node-9b4b91,<none>,<none>,BU,controller-revision-hash=5d4b74d9f9 k8s-app=ovhcloud-apiserver-proxy mks.ovh/version=1.28.3-1 pod-template-generation=2,,10d
auxiliary,loki-read-846847c547-ndb9s,0,●,1/1,Running,0,32,182,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.12,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=read app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist pod-template-hash=846847c547,,10d
auxiliary,prometheus-operator-loki-logs-759rh,0,●,2/2,Running,0,3,94,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.3,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/instance=prometheus-operator-loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=54c7f8c8bb grafana-agent=prometheus-operator-loki operator.agent.grafana.com/name=prometheus-operator-loki operator.agent.grafana.com/type=logs pod-template-generation=1,,83d
auxiliary,prometheus-operator-prometheus-node-exporter-d5x49,0,●,1/1,Running,0,1,16,0:0,0:0,n/a,n/a,n/a,n/a,10.0.2.127,cc01-pool-2-node-768869,<none>,<none>,BE,app.kubernetes.io/component=metrics app.kubernetes.io/instance=prometheus-operator app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=prometheus-node-exporter app.kubernetes.io/part-of=prometheus-node-exporter app.kubernetes.io/version=1.6.0 controller-revision-hash=54b4d8c84f helm.sh/chart=prometheus-node-exporter-4.21.0 jobLabel=node-exporter pod-template-generation=1 release=prometheus-operator,,8d
dev,postgres-backup-28477740-dl5wd,0,●,0/1,Completed,0,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.69,cc01-pool-1-node-9b4b91,<none>,<none>,BE,batch.kubernetes.io/controller-uid=6bafa732-55da-4555-bec8-57722baa7c62 batch.kubernetes.io/job-name=postgres-backup-28477740 controller-uid=6bafa732-55da-4555-bec8-57722baa7c62 job-name=postgres-backup-28477740,,4h8m
kube-system,kube-proxy-9t7qx,0,●,1/1,Running,0,1,18,100:0,200:200,1,n/a,9,9,10.0.2.127,cc01-pool-2-node-768869,<none>,<none>,BU,controller-revision-hash=b74f6f4dd mks.ovh/version=1.28.3-1 name=kube-proxy pod-template-generation=6,,8d
kube-system,kube-proxy-d9kqs,0,●,1/1,Running,0,1,35,100:0,200:200,1,n/a,17,17,10.0.1.144,cc01-pool-1-node-da6e34,<none>,<none>,BU,controller-revision-hash=b74f6f4dd mks.ovh/version=1.28.3-1 name=kube-proxy pod-template-generation=6,,10d
kube-system,ovhcloud-apiserver-proxy-sqbl4,0,●,1/1,Running,0,2,10,2:0,10:0,100,n/a,103,n/a,10.0.1.139,cc01-pool-1-node-325afd,<none>,<none>,BU,controller-revision-hash=5d4b74d9f9 k8s-app=ovhcloud-apiserver-proxy mks.ovh/version=1.28.3-1 pod-template-generation=2,,10d
auxiliary,flagsmith-df89c8d6-sftxq,0,●,1/1,Running,0,1,60,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.9,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=frontend app.kubernetes.io/instance=flagsmith app.kubernetes.io/name=flagsmith pod-template-hash=df89c8d6,,10d
auxiliary,prometheus-operator-loki-logs-w56hw,0,●,2/2,Running,0,3,76,0:0,0:0,n/a,n/a,n/a,n/a,10.2.7.2,cc01-pool-1-node-da6e34,<none>,<none>,BE,app.kubernetes.io/instance=prometheus-operator-loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=54c7f8c8bb grafana-agent=prometheus-operator-loki operator.agent.grafana.com/name=prometheus-operator-loki operator.agent.grafana.com/type=logs pod-template-generation=1,,195d
auxiliary,prometheus-operator-loki-logs-wr79h,0,●,2/2,Running,0,2,75,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.3,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=prometheus-operator-loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=54c7f8c8bb grafana-agent=prometheus-operator-loki operator.agent.grafana.com/name=prometheus-operator-loki operator.agent.grafana.com/type=logs pod-template-generation=1,,91d
auxiliary,promtail-bb8dw,0,●,1/1,Running,0,19,89,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.5,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=promtail app.kubernetes.io/name=promtail controller-revision-hash=547f785cfd pod-template-generation=1,,91d
auxiliary,vault-secrets-operator-controller-manager-77b654b4bf-g4pzx,0,●,2/2,Running,1,5,59,15:1000,128:256,33,0,46,23,10.2.26.10,cc01-pool-1-node-325afd,<none>,<none>,BU,app.kubernetes.io/instance=vault-secrets-operator app.kubernetes.io/name=vault-secrets-operator control-plane=controller-manager pod-template-hash=77b654b4bf,,10d
dev,complero-service-gorod-56fb74dd56-2tvzb,0,●,1/1,Running,0,3,261,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.19,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=complero-service app.kubernetes.io/name=complero-service-gorod pod-template-hash=56fb74dd56,,10d
kube-system,kube-proxy-64rft,0,●,1/1,Running,0,1,23,100:0,200:200,1,n/a,11,11,10.0.1.139,cc01-pool-1-node-325afd,<none>,<none>,BU,controller-revision-hash=b74f6f4dd mks.ovh/version=1.28.3-1 name=kube-proxy pod-template-generation=6,,10d
auxiliary,loki-canary-5dtnd,0,●,1/1,Running,0,2,25,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.2,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=9bb56688c pod-template-generation=1,,83d
auxiliary,loki-logs-pc4fg,0,●,2/2,Running,0,10,112,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.4,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=77594ff8bd grafana-agent=loki operator.agent.grafana.com/name=loki operator.agent.grafana.com/type=logs pod-template-generation=1,,83d
auxiliary,prometheus-operator-kube-state-metrics-6d5c4f65cc-kmqj4,0,●,1/1,Running,0,2,30,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.12,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/component=metrics app.kubernetes.io/instance=prometheus-operator app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=kube-state-metrics app.kubernetes.io/part-of=kube-state-metrics app.kubernetes.io/version=2.9.2 helm.sh/chart=kube-state-metrics-5.10.1 pod-template-hash=6d5c4f65cc release=prometheus-operator,,10d
auxiliary,prometheus-prometheus-operator-kube-p-prometheus-0,0,●,2/2,Running,0,22,706,200:0,50:0,11,n/a,1413,n/a,10.2.7.9,cc01-pool-1-node-da6e34,<none>,<none>,BU,app.kubernetes.io/instance=prometheus-operator-kube-p-prometheus app.kubernetes.io/managed-by=prometheus-operator app.kubernetes.io/name=prometheus app.kubernetes.io/version=2.45.0 apps.kubernetes.io/pod-index=0 controller-revision-hash=prometheus-prometheus-operator-kube-p-prometheus-7ddffb4dbf operator.prometheus.io/name=prometheus-operator-kube-p-prometheus operator.prometheus.io/shard=0 prometheus=prometheus-operator-kube-p-prometheus statefulset.kubernetes.io/pod-name=prometheus-prometheus-operator-kube-p-prometheus-0,,10d
auxiliary,boundary-controller-68797cff5c-lkd28,0,●,1/1,Running,0,16,95,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.60,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=boundary-controller app.kubernetes.io/instance=boundary app.kubernetes.io/name=boundary pod-template-hash=68797cff5c,,8h
auxiliary,postgres-pgadmin-backup-28477500-g9v9g,0,●,0/1,Completed,0,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.64,cc01-pool-1-node-9b4b91,<none>,<none>,BE,batch.kubernetes.io/controller-uid=30e66678-4030-4074-8b6a-68a7a61d2fef batch.kubernetes.io/job-name=postgres-pgadmin-backup-28477500 controller-uid=30e66678-4030-4074-8b6a-68a7a61d2fef job-name=postgres-pgadmin-backup-28477500,,8h
auxiliary,vault-0,0,●,1/1,Running,0,33,72,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.21,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/instance=vault app.kubernetes.io/name=vault apps.kubernetes.io/pod-index=0 component=server controller-revision-hash=vault-546b6ddf48 helm.sh/chart=vault-0.25.0 statefulset.kubernetes.io/pod-name=vault-0 vault-active=false vault-initialized=true vault-perf-standby=false vault-sealed=false vault-version=1.14.0,,10d
kube-system,calico-kube-controllers-5dcdf77c67-dcf2n,0,●,1/1,Running,0,3,38,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.14,cc01-pool-1-node-325afd,<none>,<none>,BE,k8s-app=calico-kube-controllers mks.ovh/version=1.28.3-1 pod-template-hash=5dcdf77c67,,10d
auxiliary,flagsmith-api-6df558d7c7-l8hrq,0,●,1/1,Running,4,23,319,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.7,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=api app.kubernetes.io/instance=flagsmith app.kubernetes.io/name=flagsmith pod-template-hash=6df558d7c7,,10d
auxiliary,glitchtip-web-5c477c49b5-258pr,0,●,1/1,Running,0,1,302,100:1000,256:512,1,0,118,59,10.2.32.6,cc01-pool-1-node-938903,<none>,<none>,BU,app.kubernetes.io/component=web app.kubernetes.io/instance=glitchtip app.kubernetes.io/name=glitchtip pod-template-hash=5c477c49b5,,10d
kube-system,canal-448dg,0,●,2/2,Running,1,78,94,250:0,0:0,31,n/a,n/a,n/a,10.0.1.105,cc01-pool-1-node-938903,<none>,<none>,BU,controller-revision-hash=75b6598655 k8s-app=canal mks.ovh/version=1.28.3-1 pod-template-generation=6,,10d
kube-system,nginx-ingress-ingress-nginx-controller-6c98fb7844-bbw7q,0,●,1/1,Running,0,2,93,100:0,90:0,2,n/a,104,n/a,10.2.26.15,cc01-pool-1-node-325afd,<none>,<none>,BU,app.kubernetes.io/component=controller app.kubernetes.io/instance=nginx-ingress app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=ingress-nginx app.kubernetes.io/part-of=ingress-nginx app.kubernetes.io/version=1.8.1 helm.sh/chart=ingress-nginx-4.7.1 pod-template-hash=6c98fb7844,,10d
auxiliary,prometheus-operator-loki-logs-mxt79,0,●,2/2,Running,0,3,77,0:0,0:0,n/a,n/a,n/a,n/a,10.2.2.5,cc01-pool-2-node-768869,<none>,<none>,BE,app.kubernetes.io/instance=prometheus-operator-loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=54c7f8c8bb grafana-agent=prometheus-operator-loki operator.agent.grafana.com/name=prometheus-operator-loki operator.agent.grafana.com/type=logs pod-template-generation=1,,8d
auxiliary,prometheus-operator-prometheus-node-exporter-7r997,0,●,1/1,Running,0,2,16,0:0,0:0,n/a,n/a,n/a,n/a,10.0.1.105,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/component=metrics app.kubernetes.io/instance=prometheus-operator app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=prometheus-node-exporter app.kubernetes.io/part-of=prometheus-node-exporter app.kubernetes.io/version=1.6.0 controller-revision-hash=54b4d8c84f helm.sh/chart=prometheus-node-exporter-4.21.0 jobLabel=node-exporter pod-template-generation=1 release=prometheus-operator,,64d
dev,complero-service-6ccbb9b868-lmkgc,0,●,1/1,Running,0,5,62,500:1000,2048:4096,1,0,3,1,10.2.26.131,cc01-pool-1-node-325afd,<none>,<none>,BU,app.kubernetes.io/instance=complero-service app.kubernetes.io/name=complero-service pod-template-hash=6ccbb9b868,,8h
kube-system,nginx-ingress-ingress-nginx-controller-6c98fb7844-nq5qq,0,●,1/1,Running,0,2,106,100:0,90:0,2,n/a,117,n/a,10.2.1.16,cc01-pool-1-node-9b4b91,<none>,<none>,BU,app.kubernetes.io/component=controller app.kubernetes.io/instance=nginx-ingress app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=ingress-nginx app.kubernetes.io/part-of=ingress-nginx app.kubernetes.io/version=1.8.1 helm.sh/chart=ingress-nginx-4.7.1 pod-template-hash=6c98fb7844,,10d
